,dc:title,@_fa,link,prism:url,dc:identifier,eid,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,prism:aggregationType,subtype,subtypeDescription,article-number,source-id,openaccess,openaccessFlag,freetoread,freetoreadLabel,affiliation,pii,prism:isbn,pubmed-id
1135,The Paradigm of Design Thinking and Systems Engineering in the Design of Cyber-Physical Systems: A Systematic Literature Review,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85119094415'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85119094415?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85119094415&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85119094415&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85119094415,SCOPUS_ID:85119094415,2-s2.0-85119094415,Tekaat J.L.,"ISSE 2021 - 7th IEEE International Symposium on Systems Engineering, Proceedings",,,,,,2021-09-13,13 September 2021,10.1109/ISSE51541.2021.9582548,0,Conference Proceeding,cp,Conference Paper,,21101065502,0,False,,,"[{'@_fa': 'true', 'affilname': 'Fraunhofer Institute for Mechatronic Systems Design IEM', 'affiliation-city': 'Paderborn', 'affiliation-country': 'Germany'}]",,"[{'@_fa': 'true', '$': '9781665431682'}]",
1136,Ontological modeling of micro and macro architectures Co-Design of cyber-physical systems,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85097566998'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85097566998?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85097566998&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85097566998&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85097566998,SCOPUS_ID:85097566998,2-s2.0-85097566998,Soldatov G.,Journal of Physics: Conference Series,17426588,17426596,1679,3,,2020-11-25,25 November 2020,10.1088/1742-6596/1679/3/032003,0,Conference Proceeding,cp,Conference Paper,032003,130053,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}","[{'@_fa': 'true', 'affilname': 'Ryazan State University named for S. Yesenin', 'affiliation-city': 'Ryazan', 'affiliation-country': 'Russian Federation'}]",,,
1137,A robust discrete event method for the design of cyber-physical systems: PhD forum abstract,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85097544364'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85097544364?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85097544364&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85097544364&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85097544364,SCOPUS_ID:85097544364,2-s2.0-85097544364,Boi-Ukeme J.,SenSys 2020 - Proceedings of the 2020 18th ACM Conference on Embedded Networked Sensor Systems,,,,,794-795,2020-11-16,16 November 2020,10.1145/3384419.3430567,0,Conference Proceeding,cp,Conference Paper,,21101030328,0,False,,,"[{'@_fa': 'true', 'affilname': 'Carleton University', 'affiliation-city': 'Ottawa', 'affiliation-country': 'Canada'}]",,"[{'@_fa': 'true', '$': '9781450375900'}]",
1138,Task-Based Design of Cyber-Physical Systems – Meeting Representational Requirements with S-BPM,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85097656378'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85097656378?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85097656378&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85097656378&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85097656378,SCOPUS_ID:85097656378,2-s2.0-85097656378,Weichhart G.,Communications in Computer and Information Science,18650929,18650937,1278,,63-73,2020-01-01,2020,10.1007/978-3-030-64351-5_5,4,Book Series,cp,Conference Paper,,17700155007,0,False,,,"[{'@_fa': 'true', 'affilname': 'Profactor GmbH', 'affiliation-city': 'Steyr', 'affiliation-country': 'Austria'}, {'@_fa': 'true', 'affilname': 'Johannes Kepler University Linz', 'affiliation-city': 'Linz', 'affiliation-country': 'Austria'}]",,"[{'@_fa': 'true', '$': '9783030643508'}]",
1139,A cloud-based collaboration platform for model-based design of cyber-physical systems,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85091772513'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85091772513?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85091772513&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85091772513&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85091772513,SCOPUS_ID:85091772513,2-s2.0-85091772513,Larsen P.G.,"SIMULTECH 2020 - Proceedings of the 10th International Conference on Simulation and Modeling Methodologies, Technologies and Applications",,,,,263-270,2020-01-01,2020,,4,Conference Proceeding,cp,Conference Paper,,21101022423,0,False,,,"[{'@_fa': 'true', 'affilname': 'Aarhus Universitet', 'affiliation-city': 'Aarhus', 'affiliation-country': 'Denmark'}]",,"[{'@_fa': 'true', '$': '9789897584442'}]",
1140,Early integration of dependability studies in the design of cyber-physical systems,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85089190718'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85089190718?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85089190718&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85089190718&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85089190718,SCOPUS_ID:85089190718,2-s2.0-85089190718,Bouissou M.,"Proceedings of the 29th European Safety and Reliability Conference, ESREL 2019",,,,,4114-4121,2020-01-01,2020,10.3850/978-981-11-2724-30747-cd,0,Conference Proceeding,cp,Conference Paper,,21101019325,0,False,,,"[{'@_fa': 'true', 'affilname': 'Electricité de France', 'affiliation-city': 'Paris', 'affiliation-country': 'France'}]",,"[{'@_fa': 'true', '$': '9789811127243'}]",
1141,Integration of Multi-domain-Simulation into the Design of Cyber-Physical Systems,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85088513157'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85088513157?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85088513157&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85088513157&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85088513157,SCOPUS_ID:85088513157,2-s2.0-85088513157,Steinbach T.,Advances in Intelligent Systems and Computing,21945357,21945365,1202 AISC,,451-456,2020-01-01,2020,10.1007/978-3-030-51194-4_59,0,Book Series,cp,Conference Paper,,5100152904,0,False,,,"[{'@_fa': 'true', 'affilname': 'Otto-Berndt-Straße 2', 'affiliation-city': 'Darmstadt', 'affiliation-country': 'Germany'}]",,"[{'@_fa': 'true', '$': '9783030511937'}]",
1142,Formal analysis of natural language requirements for the design of cyber-physical systems,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85084245053'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85084245053?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85084245053&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85084245053&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85084245053,SCOPUS_ID:85084245053,2-s2.0-85084245053,Lamercerie A.,"COnference en Recherche d'Informations et Application, CORIA 2018 - 15th French Information Retrieval Conference, Proceedings",,,,,,2020-01-01,2020,,0,Conference Proceeding,cp,Conference Paper,,21100972410,0,False,,,"[{'@_fa': 'true', 'affilname': 'Institut de Recherche en Informatique et Systèmes Aléatoires', 'affiliation-city': 'Rennes', 'affiliation-country': 'France'}]",,"[{'@_fa': 'true', '$': '9782955643419'}]",
1143,Recent advances in analysis and design of cyber-physical systems using passivity indices,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85071671913'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85071671913?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85071671913&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85071671913&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85071671913,SCOPUS_ID:85071671913,2-s2.0-85071671913,Zakeri H.,"27th Mediterranean Conference on Control and Automation, MED 2019 - Proceedings",,,,,31-36,2019-07-01,July 2019,10.1109/MED.2019.8798500,3,Conference Proceeding,cp,Conference Paper,8798500,21100927188,0,False,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}","[{'@_fa': 'true', 'affilname': 'University of Notre Dame', 'affiliation-city': 'Notre Dame', 'affiliation-country': 'United States'}]",,"[{'@_fa': 'true', '$': '9781728128030'}]",
1144,Editorial to the theme section on model-based design of cyber-physical systems,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85043370167'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85043370167?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85043370167&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85043370167&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85043370167,SCOPUS_ID:85043370167,2-s2.0-85043370167,Broy M.,Software and Systems Modeling,16191366,16191374,18,3,1575-1576,2019-06-01,1 June 2019,10.1007/s10270-018-0670-9,2,Journal,ed,Editorial,,144641,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfree2read'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Bronze'}]}","[{'@_fa': 'true', 'affilname': 'Technical University of Munich', 'affiliation-city': 'Munich', 'affiliation-country': 'Germany'}]",,,
1145,Rigorous design of cyber-physical systems: Linking physicality and computation,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85038123992'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85038123992?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85038123992&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85038123992&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85038123992,SCOPUS_ID:85038123992,2-s2.0-85038123992,Bliudze S.,Software and Systems Modeling,16191366,16191374,18,3,1613-1636,2019-06-01,1 June 2019,10.1007/s10270-017-0642-5,8,Journal,ar,Article,,144641,0,False,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}","[{'@_fa': 'true', 'affilname': 'INRIA Institut National de Recherche en Informatique et en Automatique', 'affiliation-city': 'Le Chesnay', 'affiliation-country': 'France'}]",,,
1146,Design of cyber-physical systems architecture for prognostics and health management of high-speed railway transportation systems,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85104026023'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85104026023?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85104026023&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85104026023&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85104026023,SCOPUS_ID:85104026023,2-s2.0-85104026023,Liu Z.,International Journal of Prognostics and Health Management,,21532648,9,3,,2018-01-01,2018,10.36001/IJPHM.2018.V9I3.2740,1,Journal,ar,Article,014,21100283367,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}","[{'@_fa': 'true', 'affilname': 'University of Cincinnati', 'affiliation-city': 'Cincinnati', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affilname': 'CyberInsight Technologies Co. Ltd.', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}]",,,
1147,Requirements-driven design of cyber-physical systems,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85053810405'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85053810405?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85053810405&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85053810405&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85053810405,SCOPUS_ID:85053810405,2-s2.0-85053810405,Vuotto S.,CEUR Workshop Proceedings,16130073,,2208,,38-44,2018-01-01,2018,,0,Conference Proceeding,cp,Conference Paper,,21100218356,0,False,,,"[{'@_fa': 'true', 'affilname': 'Università degli Studi di Genova', 'affiliation-city': 'Genoa', 'affiliation-country': 'Italy'}, {'@_fa': 'true', 'affilname': 'Università degli Studi di Sassari', 'affiliation-city': 'Sassari', 'affiliation-country': 'Italy'}]",,,
1148,Process-oriented approach to the design of cyber-physical systems,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85053608405'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85053608405?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85053608405&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85053608405&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85053608405,SCOPUS_ID:85053608405,2-s2.0-85053608405,Knap L.,Springer Proceedings in Mathematics and Statistics,21941009,21941017,248,,193-204,2018-01-01,2018,10.1007/978-3-319-96598-7_16,0,Conference Proceeding,cp,Conference Paper,,21100255398,0,False,,,"[{'@_fa': 'true', 'affilname': 'Politechnika Warszawska', 'affiliation-city': 'Warsaw', 'affiliation-country': 'Poland'}]",,"[{'@_fa': 'true', '$': '9783319965970'}]",
1149,A conceptual framework for modeling and design of Cyber-Physical Systems,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85030635846'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85030635846?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85030635846&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85030635846&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85030635846,SCOPUS_ID:85030635846,2-s2.0-85030635846,Dumitrache I.,Studies in Informatics and Control,12201766,1841429X,26,3,325-334,2017-01-01,2017,10.24846/v26i3y201708,23,Journal,ar,Article,,19900191737,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfree2read'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Bronze'}]}","[{'@_fa': 'true', 'affilname': 'University Politehnica of Bucharest', 'affiliation-city': 'Bucuresti', 'affiliation-country': 'Romania'}]",,,
1150,A holistic approach to energy-aware design of cyber-physical systems,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85021429220'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85021429220?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85021429220&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85021429220&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85021429220,SCOPUS_ID:85021429220,2-s2.0-85021429220,Esparza Isasa J.A.,International Journal of Embedded Systems,17411068,17411076,9,3,283-295,2017-01-01,2017,10.1504/IJES.2017.084682,5,Journal,ar,Article,,12100157172,0,False,,,"[{'@_fa': 'true', 'affilname': 'Aarhus Universitet', 'affiliation-city': 'Aarhus', 'affiliation-country': 'Denmark'}]",,,
